City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
52,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
53,East London,ZA,-33.0153,27.9116,63.54,63,0,21.85,clear sky
54,Hobart,AU,-42.8794,147.3294,53.46,74,75,1.01,broken clouds
55,Kieta,PG,-6.2167,155.6333,78.76,85,89,5.7,light rain
56,Atuona,PF,-9.8,-139.0333,76.86,73,23,18.12,few clouds
57,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,9.22,few clouds
58,Jamestown,US,42.097,-79.2353,80.29,83,43,2.37,scattered clouds
59,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
60,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
61,Hamilton,US,39.1834,-84.5333,84.99,65,17,1.99,few clouds
62,Sao Mateus,BR,-18.7161,-39.8589,82.78,46,22,8.12,few clouds
63,Bac Lieu,VN,9.285,105.7244,81.5,81,53,8.1,broken clouds
64,Kapaa,US,22.0752,-159.319,75.52,81,90,9.22,light rain
65,Biak,ID,-0.9131,122.8766,74.52,90,58,7.27,light rain
66,Bluff,NZ,-46.6,168.3333,41.81,78,66,16.33,broken clouds
67,Axim,GH,4.8699,-2.2405,80.02,73,84,10.38,light rain
68,Gorom-Gorom,BF,14.4439,-0.2361,97.75,36,87,7.36,overcast clouds
69,Osijek,HR,45.5511,18.6939,87.62,32,20,5.75,few clouds
